"Južna Afrika - Kanada","x","0:1","0"
"Brazil - Japan","1","2:1","2"
"Njemačka - Paragvaj","1","1:1","0"
"Nizozemska - Maroko","2","1:1","0"
"Obala Bjelokosti - Norveška","x","1:2","0"
"Francuska - Švedska","1","",""
"Meksiko - Ekvador","x","",""
"Engleska - Kongo","1","",""
"Belgija - Senegal","x","",""
"SAD - Bosna","x","",""
"Španjolska - Austrija","1","",""
"Portugal - Hrvatska","1","",""
"Švicarska - Alžir","x","",""
"Australija - Egipat","x","",""
"Argentina - Zelenortska Republika","1","",""
"Kolumbija - Ghana","x","",""
